<news:alt.atheism>	alt.atheism
<news:comp.graphics>	comp.graphics
<news:comp.os.ms-windows.misc>	comp.os.ms-windows.misc
<news:comp.sys.ibm.pc.hardware>	comp.sys.ibm.pc.hardware
<news:comp.sys.mac.hardware>	comp.sys.mac.hardware
<news:comp.windows.x>	comp.windows.x
<news:misc.forsale>	misc.forsale
<news:rec.autos>	rec.autos
<news:rec.motorcycles>	rec.motorcycles
<news:rec.sport.baseball>	rec.sport.baseball
<news:rec.sport.hockey>	rec.sport.hockey
<news:sci.crypt>	sci.crypt
<news:sci.electronics>	sci.electronics
<news:sci.med>	sci.med
<news:sci.space>	sci.space
<news:soc.religion.christian>	soc.religion.christian
<news:talk.politics.guns>	talk.politics.guns
<news:talk.politics.mideast>	talk.politics.mideast
<news:talk.politics.misc>	talk.politics.misc
<news:talk.religion.misc>	talk.religion.misc
